link_id;speed_limit;road_type;x_b;y_b;x_e;y_e
391664;100;1010;16.146662;45.797055;16.153765;45.795432
391663;100;1010;16.145718;45.797249;16.146662;45.797055
391669;90;1010;16.145782;45.797354;16.143090;45.798012
391670;90;1010;16.143090;45.798012;16.138433;45.798783
391640;80;1010;16.138433;45.798783;16.136802;45.799247
391644;80;1010;16.136116;45.799508;16.132768;45.804983
391672;100;1010;16.134721;45.799561;16.131384;45.800264
391673;100;1010;16.131384;45.800264;16.130322;45.800473
391704;100;1030;16.125741;45.801446;16.130322;45.800473
391703;100;1030;16.125237;45.801550;16.125741;45.801446
391701;80;1030;16.122876;45.802037;16.125022;45.801595
391699;60;1030;16.119679;45.802710;16.122254;45.802171
391697;60;1030;16.118842;45.802897;16.119196;45.802814
391695;80;1030;16.114519;45.803876;16.118027;45.803076
391693;80;1030;16.111536;45.804565;16.113703;45.804063
391691;80;1030;16.107405;45.805485;16.111193;45.804639
391689;80;1030;16.106300;45.805671;16.106944;45.805567
386208;80;1030;16.101880;45.806188;16.106300;45.805671
397751;50;1040;16.099488;45.827992;16.101301;45.828276
397752;50;1040;16.101301;45.828276;16.103618;45.827977
397753;50;1040;16.103618;45.827977;16.105024;45.827693
397754;50;1040;16.105024;45.827693;16.105528;45.827626
397757;50;1040;16.106644;45.827558;16.107888;45.827521
402617;50;1040;16.109369;45.827341;16.107888;45.827521
402616;50;1040;16.110420;45.827155;16.109369;45.827341
402615;50;1040;16.110796;45.827095;16.110420;45.827155
402546;50;1040;16.111439;45.826975;16.113875;45.826198
402608;50;1040;16.115645;45.825338;16.114186;45.826085
402607;40;1040;16.116890;45.824874;16.115645;45.825338
402604;50;1040;16.118349;45.824575;16.117512;45.824717
402603;50;1040;16.120183;45.824328;16.118349;45.824575
402602;50;1040;16.120720;45.824246;16.120183;45.824328
402599;40;1040;16.122233;45.824037;16.121600;45.824119
402597;40;1040;16.124207;45.823947;16.122801;45.823992
402596;40;1040;16.125902;45.823872;16.124207;45.823947
402595;40;1040;16.126524;45.823850;16.125902;45.823872
402593;40;1040;16.128799;45.823745;16.126771;45.823835
402592;40;1040;16.130859;45.823738;16.128799;45.823745
402589;50;1040;16.134356;45.823932;16.131856;45.823730
402588;50;1040;16.135386;45.824216;16.134356;45.823932
402548;40;1040;16.135386;45.824216;16.136867;45.821555
402561;0;1040;16.136867;45.821555;16.138101;45.820029
402524;0;1010;16.138090;45.819805;16.138101;45.820029
402523;0;1010;16.137811;45.817098;16.138090;45.819805
402522;0;1010;16.136845;45.814212;16.137811;45.817098
402521;0;1010;16.135182;45.811303;16.136845;45.814212
391680;130;1010;16.133176;45.807287;16.135182;45.811303
391679;100;1010;16.132414;45.804781;16.133176;45.807287
391678;100;1010;16.132146;45.803906;16.132414;45.804781
391677;100;1010;16.131341;45.801169;16.132146;45.803906
391655;100;1010;16.131341;45.801169;16.131202;45.800668
391730;40;1030;16.130966;45.799845;16.130644;45.800189
391731;100;1030;16.130644;45.800189;16.125655;45.801229
391705;100;1030;16.130644;45.800189;16.132071;45.799882
391706;100;1030;16.132071;45.799882;16.133015;45.799636
391707;100;1030;16.133015;45.799636;16.134957;45.798947
391718;100;1030;16.135526;45.798626;16.134957;45.798947
391716;80;1030;16.138176;45.797556;16.136320;45.798207
391715;80;1030;16.145622;45.797100;16.138176;45.797556
391634;100;1010;16.146115;45.797055;16.151404;45.795888
391671;90;1010;16.138433;45.798783;16.134721;45.799561
391694;80;1030;16.113703;45.804063;16.114519;45.803876
391692;80;1030;16.111193;45.804639;16.111536;45.804565
391690;80;1030;16.106944;45.805567;16.107405;45.805485
386210;80;1030;16.106129;45.805537;16.101869;45.806045
386211;80;1030;16.101869;45.806045;16.095003;45.806060
386207;80;1030;16.095936;45.806270;16.101880;45.806188
386206;80;1030;16.087450;45.805342;16.095936;45.806270
386205;80;1030;16.086162;45.805170;16.087450;45.805342
386204;80;1030;16.083974;45.804886;16.086162;45.805170
386203;80;1030;16.083019;45.804752;16.083974;45.804886
386202;80;1030;16.079038;45.804235;16.083019;45.804752
386201;80;1030;16.076056;45.803839;16.079038;45.804235
386200;80;1030;16.074715;45.803675;16.076056;45.803839
386236;50;1050;16.073921;45.804004;16.072966;45.805028
386238;50;1050;16.072794;45.805223;16.072215;45.805881
386240;30;1050;16.071893;45.806240;16.071346;45.806741
386241;30;1050;16.071346;45.806741;16.069897;45.806704
386243;50;1050;16.069061;45.806973;16.064554;45.808297
386246;40;1050;16.064200;45.808880;16.064426;45.809329
386249;40;1050;16.065305;45.809725;16.067054;45.810293
386250;40;1050;16.067054;45.810293;16.067709;45.810794
396424;40;1050;16.067451;45.811295;16.065992;45.814862
396427;40;1050;16.065928;45.815199;16.065820;45.815842
396428;40;1050;16.065820;45.815842;16.065735;45.816500
396429;40;1050;16.065735;45.816500;16.065466;45.817614
396431;50;1050;16.065316;45.818310;16.064554;45.818242
396432;50;1050;16.064554;45.818242;16.063879;45.821151
396433;40;1050;16.063879;45.821151;16.064190;45.822534
396435;40;1050;16.064147;45.822953;16.064061;45.823394
396436;40;1050;16.064061;45.823394;16.063728;45.824949
396439;40;1050;16.063610;45.825450;16.063460;45.826085
396440;40;1050;16.063460;45.826085;16.063138;45.827506
396441;40;1050;16.063138;45.827506;16.063052;45.827917
397094;50;1050;16.062913;45.828799;16.063031;45.828014
396437;40;1050;16.063728;45.824949;16.063632;45.825323
396430;40;1050;16.065466;45.817614;16.065316;45.818310
386248;40;1050;16.064662;45.809493;16.065305;45.809725
386245;40;1050;16.064082;45.808506;16.064200;45.808880
386237;50;1050;16.072966;45.805028;16.072794;45.805223
386224;80;1030;16.074886;45.803570;16.074446;45.803517
386222;80;1030;16.077322;45.803891;16.075530;45.803652
386221;80;1030;16.078448;45.804041;16.077322;45.803891
386220;80;1030;16.080004;45.804243;16.078448;45.804041
386219;70;1030;16.082278;45.804550;16.080004;45.804243
386218;70;1030;16.083030;45.804647;16.082278;45.804550
386216;80;1030;16.085733;45.804998;16.083909;45.804759
386215;80;1030;16.087632;45.805245;16.085733;45.804998
386214;80;1030;16.090572;45.805642;16.087632;45.805245
386213;80;1030;16.091548;45.805769;16.090572;45.805642
386212;80;1030;16.095003;45.806060;16.091548;45.805769
386209;80;1030;16.106880;45.805425;16.106129;45.805537
391744;80;1030;16.112877;45.804131;16.106880;45.805425
391743;80;1030;16.114100;45.803854;16.112877;45.804131
391742;80;1030;16.115892;45.803435;16.114100;45.803854
391741;80;1030;16.118821;45.802770;16.115892;45.803435
391739;80;1030;16.120301;45.802463;16.119583;45.802612
391723;100;1030;16.125129;45.801453;16.120988;45.802321
391722;100;1030;16.125698;45.801333;16.125129;45.801453
391721;60;1030;16.130022;45.800436;16.125698;45.801333
391720;100;1030;16.132017;45.800010;16.130022;45.800436
391719;100;1030;16.134957;45.798947;16.132017;45.800010
391717;80;1030;16.136320;45.798207;16.135526;45.798626
391641;80;1010;16.136802;45.799247;16.136395;45.799389
391645;0;1010;16.132768;45.804983;16.133552;45.807885
391682;80;1010;16.133552;45.807885;16.131631;45.801565
391681;130;1010;16.135322;45.811258;16.133552;45.807885
402536;0;1010;16.137049;45.814287;16.135322;45.811258
402534;100;1010;16.137961;45.817046;16.137382;45.815094
402533;100;1010;16.138251;45.819798;16.137961;45.817046
402532;100;1010;16.137511;45.824964;16.138251;45.819798
402531;100;1010;16.137253;45.826713;16.137511;45.824964
402530;100;1010;16.137199;45.827289;16.137253;45.826713
402529;100;1010;16.137114;45.829136;16.137199;45.827289
403246;130;1010;16.137393;45.832664;16.137114;45.829315
403245;130;1010;16.139313;45.838861;16.137393;45.832664
403244;130;1010;16.141984;45.843383;16.139313;45.838861
403243;130;1010;16.145997;45.847919;16.141984;45.843383
391674;40;1010;16.130322;45.800473;16.129217;45.800840
391700;60;1030;16.122254;45.802171;16.122876;45.802037
391696;80;1030;16.118027;45.803076;16.118842;45.802897
386255;50;1050;16.074715;45.803675;16.074243;45.803749
386239;40;1050;16.072215;45.805881;16.071893;45.806240
396426;40;1050;16.065960;45.815019;16.065928;45.815199
403235;130;1010;16.142027;45.843674;16.145300;45.847434
403234;130;1010;16.139174;45.838891;16.142027;45.843674
403233;130;1010;16.137242;45.832664;16.139174;45.838891
403232;130;1010;16.136974;45.829136;16.137242;45.832664
402528;130;1010;16.137092;45.826841;16.136974;45.829136
402527;130;1010;16.137822;45.822542;16.137092;45.826841
402526;130;1010;16.137983;45.821510;16.137822;45.822542
402525;130;1010;16.138101;45.820029;16.137983;45.821510
391656;100;1010;16.131202;45.800668;16.131148;45.800473
391659;100;1010;16.130966;45.799845;16.130655;45.798873
386199;80;1030;16.074350;45.803630;16.074715;45.803675
386196;80;1030;16.068449;45.802837;16.073921;45.803555
386195;80;1030;16.067172;45.802672;16.068449;45.802837
386194;80;1030;16.064930;45.802373;16.067172;45.802672
386192;80;1030;16.063149;45.802141;16.063814;45.802231
386190;80;1030;16.060499;45.801790;16.062709;45.802089
386188;80;1030;16.056433;45.801251;16.059362;45.801640
386187;80;1030;16.054094;45.800945;16.056433;45.801251
384839;80;1030;16.054094;45.800945;16.052216;45.800653
384841;70;1030;16.051229;45.800496;16.049395;45.800197
383515;70;1030;16.049051;45.800137;16.043129;45.799067
383518;70;1030;16.042228;45.798903;16.041648;45.798798
383606;50;1050;16.039234;45.798491;16.040479;45.798588
383520;80;1030;16.040479;45.798588;16.036831;45.798035
383521;80;1030;16.036831;45.798035;16.033494;45.797661
383522;80;1030;16.033494;45.797661;16.030844;45.797459
383523;60;1030;16.030844;45.797459;16.027958;45.797302
383524;60;1030;16.027958;45.797302;16.024954;45.797160
383526;60;1030;16.024182;45.797122;16.022916;45.797040
383584;40;1040;16.022916;45.797040;16.022218;45.797055
383586;30;1040;16.021564;45.797392;16.019697;45.797429
383587;30;1040;16.019697;45.797429;16.017487;45.797384
383588;60;1040;16.017487;45.797384;16.016757;45.797751
383589;60;1040;16.016757;45.797751;16.015266;45.798731
384168;50;1050;16.016843;45.803458;16.014955;45.802986
384166;50;1050;16.017809;45.803600;16.017272;45.803517
384165;50;1050;16.020223;45.804049;16.017809;45.803600
384164;50;1050;16.024514;45.804729;16.020223;45.804049
384163;50;1050;16.027143;45.802882;16.024514;45.804729
383596;50;1050;16.027143;45.802882;16.030072;45.801416
383597;50;1050;16.030072;45.801416;16.030834;45.801027
383598;50;1050;16.030834;45.801027;16.031907;45.800458
383599;50;1050;16.031907;45.800458;16.033462;45.799680
383600;50;1050;16.033462;45.799680;16.035876;45.798424
383612;50;1050;16.037121;45.797534;16.036788;45.797855
384835;80;1030;16.049094;45.800032;16.049448;45.800084
384836;80;1030;16.049448;45.800084;16.052173;45.800533
384838;80;1030;16.053128;45.800675;16.055853;45.801064
386234;80;1030;16.057066;45.801221;16.055853;45.801064
386233;80;1030;16.057377;45.801266;16.057066;45.801221
386232;80;1030;16.061153;45.801767;16.057377;45.801266
386231;80;1030;16.062709;45.801977;16.061153;45.801767
386229;80;1030;16.066411;45.802455;16.063138;45.802029
386228;80;1030;16.067773;45.802635;16.066411;45.802455
386227;80;1030;16.073599;45.803398;16.067773;45.802635
386217;80;1030;16.083909;45.804759;16.083030;45.804647
391738;80;1030;16.120988;45.802321;16.120301;45.802463
391737;80;1030;16.124743;45.801416;16.120988;45.802321
391736;100;1030;16.125011;45.801356;16.124743;45.801416
391729;40;1030;16.132071;45.799882;16.131181;45.799658
391653;0;1010;16.131395;45.800376;16.131181;45.799658
391646;0;1010;16.132768;45.804983;16.131459;45.800600
402535;0;1010;16.137382;45.815094;16.137049;45.814287
402549;40;1040;16.136867;45.821555;16.137822;45.822542
402586;50;1040;16.137747;45.824672;16.135880;45.824373
402562;50;1040;16.138186;45.824732;16.139925;45.825196
402564;50;1040;16.140718;45.825435;16.141126;45.825555
402579;50;1040;16.143368;45.825652;16.142306;45.825712
402578;50;1040;16.144280;45.825555;16.143368;45.825652
402577;50;1040;16.146051;45.825263;16.144280;45.825555
402576;50;1040;16.148508;45.824837;16.146051;45.825263
402575;50;1040;16.150095;45.824560;16.148508;45.824837
402574;50;1040;16.151952;45.824224;16.150095;45.824560
402573;50;1040;16.153035;45.824022;16.151952;45.824224
386251;40;1050;16.067709;45.810794;16.067451;45.811295
397093;50;1050;16.062924;45.828874;16.062913;45.828799
397110;50;1050;16.065906;45.828680;16.062913;45.828799
397109;50;1050;16.068728;45.828702;16.065906;45.828680
397107;50;1050;16.071110;45.828418;16.068900;45.828695
397106;50;1050;16.073266;45.828149;16.071110;45.828418
397105;50;1050;16.073931;45.828074;16.073266;45.828149
397103;50;1050;16.075584;45.827865;16.074361;45.828022
396442;50;1050;16.075584;45.827865;16.076764;45.827655
396444;50;1050;16.077000;45.827596;16.078663;45.827259
396445;50;1050;16.078663;45.827259;16.079918;45.827072
396446;50;1050;16.079918;45.827072;16.081066;45.826930
396447;50;1050;16.081066;45.826930;16.083190;45.826616
396400;50;1040;16.083405;45.826571;16.083190;45.826616
396398;50;1040;16.085047;45.826392;16.083620;45.826549
397743;50;1040;16.085680;45.826250;16.086935;45.825973
397744;50;1040;16.086935;45.825973;16.089370;45.826056
397745;50;1040;16.089370;45.826056;16.093544;45.826788
397747;50;1040;16.094348;45.826900;16.096237;45.827207
397749;50;1040;16.096569;45.827274;16.099091;45.827865
391740;80;1030;16.119583;45.802612;16.118821;45.802770
391714;0;1030;16.148003;45.796554;16.145622;45.797100
391642;80;1010;16.136395;45.799389;16.136169;45.799486
402550;40;1040;16.137511;45.824964;16.137983;45.826175
402560;0;1040;16.138959;45.826280;16.137199;45.827289
391660;80;1010;16.130655;45.798873;16.128874;45.794968
391658;100;1010;16.131138;45.800428;16.130966;45.799845
391702;100;1030;16.125022;45.801595;16.125237;45.801550
391698;60;1030;16.119196;45.802814;16.119679;45.802710
386193;80;1030;16.063814;45.802231;16.064930;45.802373
386189;0;1030;16.059362;45.801640;16.060499;45.801790
384840;80;1030;16.052216;45.800653;16.051229;45.800496
383519;70;1030;16.041648;45.798798;16.040479;45.798588
383604;50;1050;16.037292;45.798237;16.038419;45.798386
383603;50;1050;16.036509;45.798110;16.037292;45.798237
383611;50;1050;16.037346;45.797324;16.037121;45.797534
383608;50;1050;16.038580;45.795297;16.038215;45.796576
383607;50;1050;16.038762;45.794025;16.038580;45.795297
382902;50;1050;16.036896;45.791183;16.038762;45.794025
383616;50;1050;16.037679;45.797347;16.037990;45.796943
383514;80;1030;16.044502;45.799194;16.045511;45.799381
384833;70;1030;16.045511;45.799381;16.048450;45.799912
384834;70;1030;16.048450;45.799912;16.049094;45.800032
384837;80;1030;16.052173;45.800533;16.053128;45.800675
391633;100;1010;16.145654;45.797152;16.146115;45.797055
386247;40;1050;16.064426;45.809329;16.064662;45.809493
396425;40;1050;16.065992;45.814862;16.065960;45.815019
399231;40;1050;16.055950;45.840647;16.055778;45.840984
397772;50;1040;16.098243;45.827745;16.096537;45.827349
397774;50;1040;16.096205;45.827282;16.094466;45.826983
397775;50;1040;16.094466;45.826983;16.094338;45.826960
397756;50;1040;16.105989;45.827596;16.106644;45.827558
402609;50;1040;16.114186;45.826085;16.113918;45.826242
402590;50;1040;16.131856;45.823730;16.131191;45.823738
402587;50;1040;16.135880;45.824373;16.135386;45.824216
402584;50;1040;16.140021;45.825173;16.138186;45.824732
402558;0;1040;16.139764;45.825697;16.139238;45.826160
403247;100;1010;16.137114;45.829315;16.137114;45.829136
391650;40;1010;16.133305;45.801356;16.131459;45.800600
391649;40;1010;16.132822;45.800129;16.133305;45.801356
391647;40;1010;16.131384;45.800264;16.132661;45.800114
391657;100;1010;16.131148;45.800473;16.131138;45.800428
402585;50;1040;16.138186;45.824732;16.137747;45.824672
386242;50;1050;16.069897;45.806704;16.069061;45.806973
391662;100;1010;16.127597;45.792103;16.145718;45.797249
390996;0;1010;16.127597;45.792103;16.125516;45.789552
390997;0;1010;16.125516;45.789552;16.123724;45.787524
390998;0;1010;16.123724;45.787524;16.118081;45.782527
390999;130;1010;16.118081;45.782527;16.110485;45.777850
391000;130;1010;16.110485;45.777850;16.109004;45.777079
385603;130;1010;16.102813;45.773705;16.109004;45.777079
385602;130;1010;16.100990;45.772589;16.102813;45.773705
385601;130;1010;16.099713;45.771759;16.100990;45.772589
385600;130;1010;16.097095;45.770000;16.099713;45.771759
385598;130;1010;16.094563;45.768129;16.096215;45.769372
385633;80;1040;16.092739;45.766872;16.094241;45.767965
385631;80;1040;16.091613;45.765944;16.092128;45.766393
385630;50;1040;16.087085;45.765944;16.091613;45.765944
385625;80;1040;16.084864;45.766804;16.087085;45.765944
385624;80;1040;16.079403;45.767538;16.084864;45.766804
385623;60;1040;16.077150;45.767530;16.079403;45.767538
385642;80;1040;16.087042;45.765779;16.077139;45.767321
385629;80;1040;16.088501;45.764963;16.087042;45.765779
385628;60;1040;16.089284;45.764477;16.088501;45.764963
382196;60;1040;16.089284;45.764477;16.090357;45.763826
382197;40;1040;16.090357;45.763826;16.089810;45.763766
382204;80;1040;16.090443;45.764312;16.089810;45.763766
385637;80;1040;16.091892;45.765570;16.090443;45.764312
385635;80;1040;16.094477;45.767905;16.092728;45.766288
385608;130;1010;16.096365;45.769327;16.094477;45.767905
385607;130;1010;16.097202;45.769925;16.096365;45.769327
385606;130;1010;16.099681;45.771602;16.097202;45.769925
385605;130;1010;16.103189;45.773772;16.099681;45.771602
385604;130;1010;16.108907;45.776892;16.103189;45.773772
390989;130;1010;16.108907;45.776892;16.110603;45.777783
390990;130;1010;16.110603;45.777783;16.114798;45.780147
390991;100;1010;16.114798;45.780147;16.118188;45.782444
390992;100;1010;16.118188;45.782444;16.123896;45.787495
390994;100;1010;16.123928;45.787524;16.126481;45.790487
390995;100;1010;16.126481;45.790487;16.128734;45.792492
391688;80;1010;16.130751;45.797062;16.128734;45.792492
391654;0;1010;16.131181;45.799658;16.130730;45.797264
391648;40;1010;16.132661;45.800114;16.132822;45.800129
385599;130;1010;16.096215;45.769372;16.097095;45.770000
385632;80;1040;16.092128;45.766393;16.092739;45.766872
385621;70;1040;16.071110;45.769783;16.076903;45.767545
385643;70;1040;16.077139;45.767321;16.070949;45.769656
382198;80;1040;16.089810;45.763766;16.088308;45.762411
385636;80;1040;16.092728;45.766288;16.091892;45.765570
391631;100;1010;16.126481;45.790487;16.134088;45.796935
391632;100;1010;16.134088;45.796935;16.145654;45.797152
386223;80;1030;16.075530;45.803652;16.074886;45.803570
397104;50;1050;16.074361;45.828022;16.073931;45.828074
396443;50;1050;16.076764;45.827655;16.077000;45.827596
397746;50;1040;16.093544;45.826788;16.094348;45.826900
391643;80;1010;16.136169;45.799486;16.136116;45.799508
386198;80;1030;16.074200;45.803600;16.074350;45.803630
383516;70;1030;16.043129;45.799067;16.042560;45.798962
383605;50;1050;16.038419;45.798386;16.039234;45.798491
383609;50;1050;16.038215;45.796576;16.037571;45.797122
396434;40;1050;16.064190;45.822534;16.064147;45.822953
397742;50;1040;16.085047;45.826392;16.085680;45.826250
397748;50;1040;16.096237;45.827207;16.096569;45.827274
396381;70;1040;16.063160;45.820979;16.064662;45.821256
391651;0;1010;16.131459;45.800600;16.131406;45.800421
385634;80;1040;16.094241;45.767965;16.094563;45.768129
386191;80;1030;16.062709;45.802089;16.063149;45.802141
383525;60;1030;16.024954;45.797160;16.024182;45.797122
383528;60;1030;16.022358;45.797018;16.020738;45.796965
383529;70;1030;16.020738;45.796965;16.019729;45.796920
383530;70;1030;16.019729;45.796920;16.017444;45.796801
383571;60;1040;16.019933;45.795806;16.019000;45.796232
383569;60;1040;16.021049;45.795245;16.020674;45.795439
383568;60;1040;16.021768;45.794893;16.021049;45.795245
383566;60;1040;16.023624;45.793951;16.022819;45.794362
383565;60;1040;16.024622;45.793464;16.023624;45.793951
383564;60;1040;16.025126;45.793225;16.024622;45.793464
382880;60;1040;16.025652;45.792963;16.026778;45.792395
382881;60;1040;16.026778;45.792395;16.028666;45.791445
382882;60;1040;16.028666;45.791445;16.030222;45.790667
382884;50;1040;16.030222;45.790667;16.031971;45.789791
382885;50;1040;16.031971;45.789791;16.033806;45.788983
382897;50;1040;16.034364;45.788714;16.033806;45.788983
382895;50;1040;16.035726;45.788026;16.035039;45.788377
382893;50;1040;16.036670;45.787554;16.036037;45.787884
382892;50;1040;16.037850;45.786978;16.036670;45.787554
382890;50;1040;16.039900;45.785938;16.038290;45.786769
382889;50;1040;16.041369;45.785183;16.039900;45.785938
382887;50;1040;16.043301;45.784203;16.041670;45.785033
382886;50;1040;16.045929;45.782878;16.043301;45.784203
384843;50;1040;16.045929;45.782878;16.047099;45.782317
384844;50;1040;16.047099;45.782317;16.053246;45.779227
384845;50;1040;16.053246;45.779227;16.054137;45.778741
384846;50;1040;16.054137;45.778741;16.054759;45.778434
384848;50;1040;16.055210;45.778217;16.056368;45.777633
384849;50;1040;16.056368;45.777633;16.057785;45.776930
384850;50;1040;16.057785;45.776930;16.058074;45.776773
385611;30;1040;16.058890;45.776346;16.059887;45.775912
385647;30;1040;16.060263;45.775665;16.059963;45.775680
385646;70;1040;16.065627;45.772799;16.060263;45.775665
385645;70;1040;16.069200;45.770696;16.065627;45.772799
385644;70;1040;16.070949;45.769656;16.069200;45.770696
386256;50;1050;16.074243;45.803749;16.073921;45.804004
402582;50;1040;16.141384;45.825599;16.140257;45.825248
402581;50;1040;16.142220;45.825704;16.141384;45.825599
402556;0;1040;16.140718;45.825435;16.140064;45.825435
402559;0;1040;16.139238;45.826160;16.138959;45.826280
383602;50;1050;16.035876;45.798424;16.036509;45.798110
396438;40;1050;16.063632;45.825323;16.063610;45.825450
402606;50;1040;16.117437;45.824732;16.116890;45.824874
402600;40;1040;16.121600;45.824119;16.121235;45.824171
402598;40;1040;16.122801;45.823992;16.122233;45.824037
402594;40;1040;16.126771;45.823835;16.126524;45.823850
402563;50;1040;16.139925;45.825196;16.140718;45.825435
397097;50;1050;16.065885;45.828777;16.068739;45.828777
397750;50;1040;16.099091;45.827865;16.099488;45.827992
