link_id;speed_limit;road_type
391664;100;1010
391663;100;1010
391669;90;1010
391670;90;1010
391640;80;1010
391644;80;1010
391672;100;1010
391673;100;1010
391704;100;1030
391703;100;1030
391701;80;1030
391699;60;1030
391697;60;1030
391695;80;1030
391693;80;1030
391691;80;1030
391689;80;1030
386208;80;1030
397751;50;1040
397752;50;1040
397753;50;1040
397754;50;1040
397757;50;1040
402617;50;1040
402616;50;1040
402615;50;1040
402546;50;1040
402608;50;1040
402607;40;1040
402604;50;1040
402603;50;1040
402602;50;1040
402599;40;1040
402597;40;1040
402596;40;1040
402595;40;1040
402593;40;1040
402592;40;1040
402589;50;1040
402588;50;1040
402548;40;1040
402561;52;1040
402524;91;1010
402523;91;1010
402522;91;1010
402521;91;1010
391680;130;1010
391679;100;1010
391678;100;1010
391677;100;1010
391655;100;1010
391730;40;1030
391731;100;1030
391705;100;1030
391706;100;1030
391707;100;1030
391718;100;1030
391716;80;1030
391715;80;1030
391634;100;1010
391671;90;1010
391694;80;1030
391692;80;1030
391690;80;1030
386210;80;1030
386211;80;1030
386207;80;1030
386206;80;1030
386205;80;1030
386204;80;1030
386203;80;1030
386202;80;1030
386201;80;1030
386200;80;1030
386236;50;1050
386238;50;1050
386240;30;1050
386241;30;1050
386243;50;1050
386246;40;1050
386249;40;1050
386250;40;1050
396424;40;1050
396427;40;1050
396428;40;1050
396429;40;1050
396431;50;1050
396432;50;1050
396433;40;1050
396435;40;1050
396436;40;1050
396439;40;1050
396440;40;1050
396441;40;1050
397094;50;1050
396437;40;1050
396430;40;1050
386248;40;1050
386245;40;1050
386237;50;1050
386224;80;1030
386222;80;1030
386221;80;1030
386220;80;1030
386219;70;1030
386218;70;1030
386216;80;1030
386215;80;1030
386214;80;1030
386213;80;1030
386212;80;1030
386209;80;1030
391744;80;1030
391743;80;1030
391742;80;1030
391741;80;1030
391739;80;1030
391723;100;1030
391722;100;1030
391721;60;1030
391720;100;1030
391719;100;1030
391717;80;1030
391641;80;1010
391645;91;1010
391682;80;1010
391681;130;1010
402536;91;1010
402534;100;1010
402533;100;1010
402532;100;1010
402531;100;1010
402530;100;1010
402529;100;1010
403246;130;1010
403245;130;1010
403244;130;1010
403243;130;1010
391674;40;1010
391700;60;1030
391696;80;1030
386255;50;1050
386239;40;1050
396426;40;1050
403235;130;1010
403234;130;1010
403233;130;1010
403232;130;1010
402528;130;1010
402527;130;1010
402526;130;1010
402525;130;1010
391656;100;1010
391659;100;1010
386199;80;1030
386196;80;1030
386195;80;1030
386194;80;1030
386192;80;1030
386190;80;1030
386188;80;1030
